bid_id,bidder_id,auction,merchandise,device,time,country,ip,url,outcome
3154,0ad17aa9111f657d71cd3005599afc24fd44y,gdg8l,mobile,phone4,onepm,id,93.82.160.29,vasstdc27m7nks3,1
3499,055282b75717345ba6f53d40e9e6d6c56qrzp,5zarn,sporting goods,phone439,onepm,uk,224.136.98.104,8m46ukfvbz7lun5,0
3500,0ad17aa9111f657d71cd3005599afc24fd44y,i6t2q,mobile,phone8,onepm,in,199.100.69.53,4dd8ei0o5oqsua3,1
3605,0565a780f2c5b46837bbe9739ef15ea92fdu0,yhoht,mobile,phone169,onepm,ru,105.218.195.174,vhvlrf9nhfp0wvg,0
3730,0547dbd3ecb4a293913f138d60b586fdf4ane,7hkup,sporting goods,phone46,onepm,cl,109.174.70.72,vasstdc27m7nks3,0
3737,055282b75717345ba6f53d40e9e6d6c56qrzp,ewmzr,sporting goods,phone269,onepm,us,221.150.41.163,d3cigbmumig2csi,0
3898,0565a780f2c5b46837bbe9739ef15ea92fdu0,gi05a,mobile,phone22,onepm,in,92.38.5.98,s58mlc3scsw5m9p,0
4174,055282b75717345ba6f53d40e9e6d6c56qrzp,300ho,sporting goods,phone112,onepm,ni,82.39.122.3,u2wk5zed9o109o1,0
4526,055282b75717345ba6f53d40e9e6d6c56qrzp,0k2jo,sporting goods,phone349,onepm,fr,221.187.195.207,vasstdc27m7nks3,0
7207,01255c2c7c5578c186873422fc00fd7afwk8k,1l64e,jewelry,phone4,onepm,in,124.19.84.70,vasstdc27m7nks3,0
8101,01349288df20199905e719f0ff7ee771nwryj,toaj7,mobile,phone4,onepm,in,116.242.229.71,vasstdc27m7nks3,0
8879,0565a780f2c5b46837bbe9739ef15ea92fdu0,6hevb,mobile,phone127,onepm,in,50.154.56.223,odyewpgr4702q7z,0
9619,0547dbd3ecb4a293913f138d60b586fdf4ane,7hkup,sporting goods,phone46,onepm,cl,104.90.249.130,vasstdc27m7nks3,0
9780,01cda526658455000913950f20cf31a2q6nsf,3vz97,home goods,phone31,onepm,za,172.113.121.45,71i08h34ybwp9k9,0
9806,0565a780f2c5b46837bbe9739ef15ea92fdu0,4qf7m,mobile,phone5,onepm,bd,69.90.92.141,vasstdc27m7nks3,0
10517,05a07a27e235d01fe480ea6ac73b8838jq28x,8hp9m,mobile,phone3,onepm,in,102.243.248.113,5syrb73n27nqbqx,0
11039,054b51d059fe981ca8cc4e0d4c49aabb5mck7,gms0v,jewelry,phone394,onepm,ng,209.80.85.101,vasstdc27m7nks3,0
11206,0547dbd3ecb4a293913f138d60b586fdf4ane,7hkup,sporting goods,phone46,onepm,cl,68.3.251.224,vasstdc27m7nks3,0
11293,0565a780f2c5b46837bbe9739ef15ea92fdu0,zzzlx,mobile,phone17,onepm,in,237.235.48.13,jg76d2nh6yf1h7z,0
11977,01cda526658455000913950f20cf31a2q6nsf,3vz97,home goods,phone31,onepm,za,103.149.105.19,nm3tlrut55sxsvk,0
13469,0565a780f2c5b46837bbe9739ef15ea92fdu0,krgfs,mobile,phone152,onepm,in,112.253.167.93,q2xfkx8ike6ema4,0
13796,054b51d059fe981ca8cc4e0d4c49aabb5mck7,8hp9m,jewelry,phone457,onepm,in,233.135.140.175,kmge4rneeblxe30,0
13811,04c6b750b0552089c87ae03de72289cfcpfmh,i1aya,mobile,phone65,onepm,fi,6.75.119.116,pwhy4r0oy1uwh2r,0
14161,0565a780f2c5b46837bbe9739ef15ea92fdu0,xym5u,mobile,phone901,onepm,bd,156.51.241.12,vasstdc27m7nks3,0
14177,03e884d3e7e3356608187d2345e4693fyt29x,zo1p3,home goods,phone91,onepm,id,39.0.169.174,hofn9rh9xwi73fx,0
15028,0565a780f2c5b46837bbe9739ef15ea92fdu0,i6t2q,mobile,phone76,onepm,in,169.164.171.7,vasstdc27m7nks3,0
15138,0565a780f2c5b46837bbe9739ef15ea92fdu0,i6t2q,mobile,phone8,onepm,in,162.240.40.38,9mqnbptoouyk7u8,0
15822,0565a780f2c5b46837bbe9739ef15ea92fdu0,7pu6b,mobile,phone179,onepm,in,214.196.229.249,t150ja9ulz1u73h,0
16505,054b51d059fe981ca8cc4e0d4c49aabb5mck7,k51e0,jewelry,phone228,onepm,ng,140.131.237.54,vasstdc27m7nks3,0
18426,01067975436d123f717ee5aba0dd4bbfa0937,jefix,jewelry,phone344,onepm,in,77.163.46.135,vasstdc27m7nks3,0
19803,01349288df20199905e719f0ff7ee771nwryj,8hp9m,mobile,phone4,onepm,in,213.77.71.143,vasstdc27m7nks3,0
28902,054b51d059fe981ca8cc4e0d4c49aabb5mck7,no273,jewelry,phone35,onepm,ng,77.105.203.77,wuqr1tnswplm0bn,0
30020,054b51d059fe981ca8cc4e0d4c49aabb5mck7,kvb6s,jewelry,phone35,onepm,ng,84.242.25.125,vasstdc27m7nks3,0
31852,054b51d059fe981ca8cc4e0d4c49aabb5mck7,kvb6s,jewelry,phone20,onepm,ng,163.108.18.112,k0e8mrceyw41vr8,0
33418,05a07a27e235d01fe480ea6ac73b8838jq28x,l8c92,mobile,phone157,onepm,in,165.147.29.240,u27iaeoa9uigrhx,0
34426,054b51d059fe981ca8cc4e0d4c49aabb5mck7,bstmq,jewelry,phone57,onepm,in,196.140.186.134,nljpxto9zq0jrx6,0
34474,01067975436d123f717ee5aba0dd4bbfa0937,jefix,jewelry,phone57,onepm,om,176.186.163.51,vasstdc27m7nks3,0
34691,054b51d059fe981ca8cc4e0d4c49aabb5mck7,k51e0,jewelry,phone495,onepm,ng,209.80.85.101,vasstdc27m7nks3,0
40981,054b51d059fe981ca8cc4e0d4c49aabb5mck7,btpyy,jewelry,phone65,onepm,ng,198.243.204.92,luptcbnqkgstiz8,0
41170,054b51d059fe981ca8cc4e0d4c49aabb5mck7,8hp9m,jewelry,phone101,onepm,in,35.179.15.162,nljpxto9zq0jrx6,0
42564,05a07a27e235d01fe480ea6ac73b8838jq28x,gi05a,mobile,phone22,onepm,in,32.154.47.251,5syrb73n27nqbqx,0
44858,0547dbd3ecb4a293913f138d60b586fdf4ane,9iq87,sporting goods,phone46,onepm,mx,3.112.22.20,vasstdc27m7nks3,0
48324,050a3b29ca1818e1f237df8132bc2013bcuxi,pov36,mobile,phone94,onepm,bd,69.90.92.141,i868yaasyhgd3ft,0
51389,01067975436d123f717ee5aba0dd4bbfa0937,jefix,jewelry,phone3,onepm,in,105.112.118.151,vasstdc27m7nks3,0
51537,0547dbd3ecb4a293913f138d60b586fdf4ane,7hkup,sporting goods,phone90,onepm,cl,65.102.127.50,vasstdc27m7nks3,0
55373,0181b91f58e6cbaa832235e2879c9c00ovrzi,7etdx,mobile,phone93,onepm,in,249.81.253.235,sx9si15hbwxwu8h,0
58958,0547dbd3ecb4a293913f138d60b586fdf4ane,7hkup,sporting goods,phone46,onepm,cl,87.116.107.233,vasstdc27m7nks3,0
60863,01067975436d123f717ee5aba0dd4bbfa0937,jefix,jewelry,phone168,onepm,sa,252.34.172.184,vasstdc27m7nks3,0
61087,05a07a27e235d01fe480ea6ac73b8838jq28x,i6t2q,mobile,phone76,onepm,in,179.234.220.223,5syrb73n27nqbqx,0
64324,01067975436d123f717ee5aba0dd4bbfa0937,jefix,jewelry,phone76,onepm,bd,31.74.39.140,vasstdc27m7nks3,0
64644,04c6b750b0552089c87ae03de72289cfcpfmh,i6t2q,mobile,phone4,onepm,in,63.98.43.251,vasstdc27m7nks3,0
67279,01067975436d123f717ee5aba0dd4bbfa0937,jefix,jewelry,phone168,onepm,sa,36.62.89.36,vasstdc27m7nks3,0
70664,05a07a27e235d01fe480ea6ac73b8838jq28x,6hevb,mobile,phone20,onepm,in,207.211.191.163,5syrb73n27nqbqx,0
73715,0547dbd3ecb4a293913f138d60b586fdf4ane,9iq87,sporting goods,phone46,onepm,mx,107.151.137.57,vasstdc27m7nks3,0
74093,01067975436d123f717ee5aba0dd4bbfa0937,61qzn,jewelry,phone19,onepm,pl,169.166.216.209,vasstdc27m7nks3,0
74668,05a07a27e235d01fe480ea6ac73b8838jq28x,lae7k,mobile,phone63,onepm,in,160.30.120.80,5syrb73n27nqbqx,0
76488,01349288df20199905e719f0ff7ee771nwryj,gi05a,mobile,phone1261,onepm,in,12.156.142.109,tyndnird3f0mfx4,0
77208,01067975436d123f717ee5aba0dd4bbfa0937,jefix,jewelry,phone20,onepm,in,213.225.77.188,vasstdc27m7nks3,0
77541,05a07a27e235d01fe480ea6ac73b8838jq28x,4dyrq,mobile,phone5,onepm,in,204.249.169.136,5syrb73n27nqbqx,0
78184,05a07a27e235d01fe480ea6ac73b8838jq28x,toaj7,mobile,phone5,onepm,in,204.249.169.136,5syrb73n27nqbqx,0
78773,0547dbd3ecb4a293913f138d60b586fdf4ane,6qiu5,sporting goods,phone46,onepm,lk,227.152.143.167,vasstdc27m7nks3,0
81567,0547dbd3ecb4a293913f138d60b586fdf4ane,7hkup,sporting goods,phone46,onepm,cl,213.31.89.66,vasstdc27m7nks3,0
88542,01067975436d123f717ee5aba0dd4bbfa0937,jefix,jewelry,phone41,onepm,in,94.143.172.133,vasstdc27m7nks3,0
93340,050a3b29ca1818e1f237df8132bc2013bcuxi,i6t2q,mobile,phone1,onepm,in,153.49.113.128,as1bz5tuof3g6gr,0
94200,050a3b29ca1818e1f237df8132bc2013bcuxi,i6t2q,mobile,phone32,onepm,in,6.31.55.185,6z7qtiq0pzdlvf8,0
94374,01255c2c7c5578c186873422fc00fd7afwk8k,jefix,jewelry,phone1008,onepm,in,130.47.107.183,68nz4biits4d5q5,0
94667,01255c2c7c5578c186873422fc00fd7afwk8k,jefix,jewelry,phone1008,onepm,in,130.47.107.183,68nz4biits4d5q5,0
100261,01cda526658455000913950f20cf31a2q6nsf,5cicx,home goods,phone548,onepm,za,17.149.170.137,247y4zzmcm02dh4,0
100266,01349288df20199905e719f0ff7ee771nwryj,0leyt,mobile,phone3,onepm,in,54.2.140.172,leqhbwjys86fcc3,0
100426,01349288df20199905e719f0ff7ee771nwryj,7hpsl,mobile,phone4,onepm,in,112.171.107.114,c5ipnqli4x51wgj,0
108132,01cda526658455000913950f20cf31a2q6nsf,t0nea,home goods,phone31,onepm,za,203.170.169.85,jsmqybfzqhq6em4,0
108771,01cda526658455000913950f20cf31a2q6nsf,4cpb1,home goods,phone79,onepm,za,211.219.91.100,vasstdc27m7nks3,0
111577,01349288df20199905e719f0ff7ee771nwryj,7pu6b,mobile,phone4,onepm,in,72.73.31.24,vasstdc27m7nks3,0
117154,03e884d3e7e3356608187d2345e4693fyt29x,06pag,home goods,phone4,onepm,id,177.47.141.241,vasstdc27m7nks3,0
121850,01349288df20199905e719f0ff7ee771nwryj,zfls2,mobile,phone8,onepm,in,130.80.168.97,qy0yga0am9nz9bo,0
124956,03e884d3e7e3356608187d2345e4693fyt29x,hu49k,home goods,phone212,onepm,id,39.0.169.174,hofn9rh9xwi73fx,0
154272,04c6b750b0552089c87ae03de72289cfcpfmh,i1aya,mobile,phone134,onepm,ro,251.182.8.72,4w29ymqf1mfem6f,0
172808,012441119bcf83b23d4768bb72cea6d6carua,31v6g,mobile,phone3,onepm,in,58.25.163.98,b6awg8438upbh6x,0
180327,0496c24a6a7f593f28bf7896350e946advl6i,i1aya,mobile,phone28,onepm,za,80.12.141.178,xb23e3vd7gpxc29,0
195567,0496c24a6a7f593f28bf7896350e946advl6i,j5cz5,mobile,phone71,onepm,za,16.49.136.110,0grk3kcdoewwg9j,0
203446,01cda526658455000913950f20cf31a2q6nsf,r60fb,home goods,phone35,onepm,za,81.154.51.253,vasstdc27m7nks3,0
206661,01255c2c7c5578c186873422fc00fd7afwk8k,lgx6g,jewelry,phone397,onepm,in,71.66.157.255,vasstdc27m7nks3,0
215795,012441119bcf83b23d4768bb72cea6d6carua,2uu2n,mobile,phone556,onepm,dz,149.248.92.21,b6awg8438upbh6x,0
225042,04c6b750b0552089c87ae03de72289cfcpfmh,i1aya,mobile,phone2,onepm,ro,12.73.117.166,vasstdc27m7nks3,0
229028,01255c2c7c5578c186873422fc00fd7afwk8k,jefix,jewelry,phone83,onepm,ae,168.225.0.77,lp73u0sm4icnjqo,0
238161,0496c24a6a7f593f28bf7896350e946advl6i,yle62,mobile,phone199,onepm,za,222.177.203.71,0grk3kcdoewwg9j,0
244859,01349288df20199905e719f0ff7ee771nwryj,diwoh,mobile,phone101,onepm,in,191.197.164.186,vasstdc27m7nks3,0
247126,050a3b29ca1818e1f237df8132bc2013bcuxi,svnjk,mobile,phone4,onepm,vn,230.178.63.80,vasstdc27m7nks3,0
268599,0496c24a6a7f593f28bf7896350e946advl6i,850sq,mobile,phone31,onepm,za,190.255.151.131,rg5h0hh95ztbzbc,0
280347,042780ee9a3730703e35340c575c3cbb7zjwk,k1ctx,sporting goods,phone110,onepm,my,229.137.107.156,vasstdc27m7nks3,0
286061,0141844fc725a85e38e12cc02fcdbbe8ofqxv,mjto4,mobile,phone4,onepm,in,173.186.225.54,vasstdc27m7nks3,0
293132,01cda526658455000913950f20cf31a2q6nsf,gzc9j,home goods,phone2938,onepm,us,250.108.105.132,vasstdc27m7nks3,0
330800,01255c2c7c5578c186873422fc00fd7afwk8k,jefix,jewelry,phone68,onepm,in,213.225.77.188,gee8chowtqrmzne,0
337255,01cda526658455000913950f20cf31a2q6nsf,6df8f,home goods,phone1461,onepm,us,93.243.93.184,vasstdc27m7nks3,0
337828,058a4e0ac0a20f504cc9c6aae2a896e6too9v,jefix,mobile,phone54,onepm,id,185.218.149.48,vasstdc27m7nks3,0
342447,01255c2c7c5578c186873422fc00fd7afwk8k,jefix,jewelry,phone167,onepm,in,12.251.156.198,vasstdc27m7nks3,0
345032,02cfc97e8fded77671e71e1951723d5fwz6a4,aeqok,mobile,phone65,onepm,cn,177.213.64.30,vasstdc27m7nks3,0
354241,03e884d3e7e3356608187d2345e4693fyt29x,hu49k,home goods,phone4,onepm,id,166.67.25.123,vasstdc27m7nks3,0
362068,01255c2c7c5578c186873422fc00fd7afwk8k,k3qaa,jewelry,phone709,onepm,in,227.140.221.24,h96ab5npxc9xj23,0
371115,04c6b750b0552089c87ae03de72289cfcpfmh,gjknq,mobile,phone290,onepm,in,205.129.18.222,kne8vm9v8v5lyrt,0
377008,0181b91f58e6cbaa832235e2879c9c00ovrzi,aeqok,mobile,phone23,onepm,pk,144.19.214.203,vasstdc27m7nks3,0
377213,01349288df20199905e719f0ff7ee771nwryj,gi05a,mobile,phone45,onepm,in,85.29.112.249,mq53ymwq5lhnuu1,0
383631,042780ee9a3730703e35340c575c3cbb7zjwk,rlqxt,sporting goods,phone640,onepm,cl,127.57.13.86,vasstdc27m7nks3,0
383644,042780ee9a3730703e35340c575c3cbb7zjwk,rlqxt,sporting goods,phone212,onepm,cl,127.57.13.86,vasstdc27m7nks3,0
396570,050a3b29ca1818e1f237df8132bc2013bcuxi,ff3lz,mobile,phone757,onepm,ge,101.251.49.241,vasstdc27m7nks3,0
400501,01349288df20199905e719f0ff7ee771nwryj,lae7k,mobile,phone4,onepm,in,192.24.30.118,vasstdc27m7nks3,0
409651,01255c2c7c5578c186873422fc00fd7afwk8k,jefix,jewelry,phone35,onepm,in,207.211.191.163,cue0y8jo4146dbe,0
411195,04c6b750b0552089c87ae03de72289cfcpfmh,jefix,mobile,phone1026,onepm,cn,125.157.63.164,vasstdc27m7nks3,0
424588,050a3b29ca1818e1f237df8132bc2013bcuxi,h20je,mobile,phone4,onepm,vn,213.152.68.5,vasstdc27m7nks3,0
432499,01cda526658455000913950f20cf31a2q6nsf,r3tjd,home goods,phone1540,onepm,za,212.73.173.148,vasstdc27m7nks3,0
466509,050a3b29ca1818e1f237df8132bc2013bcuxi,1z4m8,mobile,phone4,onepm,in,53.230.178.66,vasstdc27m7nks3,0
470439,01eb9dcbd0b3e79d94020d13d83a993ec9d2a,jefix,mobile,phone101,onepm,in,202.15.43.1,vasstdc27m7nks3,0
487851,031da7aea2d4b75ac8ecba4825bc1318yki1d,8m6y1,office equipment,phone105,onepm,in,207.253.4.71,5t4z371gci796pm,0
492544,0141844fc725a85e38e12cc02fcdbbe8ofqxv,k1g7r,mobile,phone1312,onepm,bd,69.90.92.141,vasstdc27m7nks3,0
507406,0141844fc725a85e38e12cc02fcdbbe8ofqxv,8di64,mobile,phone33,onepm,ng,68.171.95.214,22wyohk8b2rgdx0,0
513232,01255c2c7c5578c186873422fc00fd7afwk8k,jefix,jewelry,phone4,onepm,in,31.125.111.83,vasstdc27m7nks3,0
514971,0181b91f58e6cbaa832235e2879c9c00ovrzi,aeqok,mobile,phone93,onepm,in,157.21.245.81,x9fib53ytsu12p9,0
539878,031da7aea2d4b75ac8ecba4825bc1318yki1d,72ygv,office equipment,phone20,onepm,my,211.198.112.35,rb9v3265yzwbxcy,0
541382,058a4e0ac0a20f504cc9c6aae2a896e6too9v,jefix,mobile,phone683,onepm,id,0.172.88.173,vasstdc27m7nks3,0
545338,031da7aea2d4b75ac8ecba4825bc1318yki1d,hu49k,office equipment,phone41,onepm,id,213.123.63.135,fwzro8zkb2byvdu,0
569381,012441119bcf83b23d4768bb72cea6d6carua,zzzlx,mobile,phone17,onepm,in,170.245.197.111,b6awg8438upbh6x,0
621732,031da7aea2d4b75ac8ecba4825bc1318yki1d,zo1p3,office equipment,phone8,onepm,id,29.38.1.189,vasstdc27m7nks3,0
622052,031da7aea2d4b75ac8ecba4825bc1318yki1d,zo1p3,office equipment,phone8,onepm,id,29.38.1.189,vasstdc27m7nks3,0
642579,0141844fc725a85e38e12cc02fcdbbe8ofqxv,7msk4,mobile,phone33,onepm,bd,160.147.101.105,vasstdc27m7nks3,0
642983,0141844fc725a85e38e12cc02fcdbbe8ofqxv,jefix,mobile,phone33,onepm,bd,160.147.101.105,vasstdc27m7nks3,0
658216,04c6b750b0552089c87ae03de72289cfcpfmh,w9e6z,mobile,phone111,onepm,my,12.77.29.64,hl86kwkdo00ggqi,0
672459,050a3b29ca1818e1f237df8132bc2013bcuxi,svnjk,mobile,phone4,onepm,vn,184.95.15.218,vasstdc27m7nks3,0
673733,0141844fc725a85e38e12cc02fcdbbe8ofqxv,aeqok,mobile,phone20,onepm,in,253.123.57.14,22wyohk8b2rgdx0,0
679198,04c6b750b0552089c87ae03de72289cfcpfmh,de1fg,mobile,phone168,onepm,kw,116.212.36.167,kne8vm9v8v5lyrt,0
700530,024cf43497fd7381df6254888670f84bwbbam,jefix,mobile,phone599,onepm,in,89.14.39.213,637oms6h78uib79,0
705160,012441119bcf83b23d4768bb72cea6d6carua,use6s,mobile,phone129,onepm,th,172.208.209.241,b6awg8438upbh6x,0
706751,050a3b29ca1818e1f237df8132bc2013bcuxi,iq5be,mobile,phone33,onepm,vn,240.48.111.143,vasstdc27m7nks3,0
707134,012441119bcf83b23d4768bb72cea6d6carua,cy9ws,mobile,phone33,onepm,in,15.152.19.246,vasstdc27m7nks3,0
732389,024cf43497fd7381df6254888670f84bwbbam,jefix,mobile,phone25,onepm,in,61.36.246.115,637oms6h78uib79,0
769621,024cf43497fd7381df6254888670f84bwbbam,fte90,mobile,phone57,onepm,id,220.216.170.202,637oms6h78uib79,0
773032,031da7aea2d4b75ac8ecba4825bc1318yki1d,q925k,office equipment,phone153,onepm,id,232.192.233.182,aq29fxrlg83qe13,0
789198,04c6b750b0552089c87ae03de72289cfcpfmh,6hevb,mobile,phone57,onepm,in,122.48.237.7,dn6vtbhpbwx6gkb,0
821621,0141844fc725a85e38e12cc02fcdbbe8ofqxv,a3kxo,mobile,phone5,onepm,bd,69.90.92.141,vasstdc27m7nks3,0
823450,012441119bcf83b23d4768bb72cea6d6carua,tpe57,mobile,phone892,onepm,ae,3.118.252.81,b6awg8438upbh6x,0
823908,012441119bcf83b23d4768bb72cea6d6carua,60ikj,mobile,phone892,onepm,ae,3.118.252.81,b6awg8438upbh6x,0
823957,012441119bcf83b23d4768bb72cea6d6carua,ko2gr,mobile,phone892,onepm,ae,3.118.252.81,b6awg8438upbh6x,0
838976,0141844fc725a85e38e12cc02fcdbbe8ofqxv,jefix,mobile,phone4,onepm,in,213.225.77.188,vasstdc27m7nks3,0
845758,04c6b750b0552089c87ae03de72289cfcpfmh,it0pa,mobile,phone5,onepm,lk,22.53.4.153,vasstdc27m7nks3,0
847218,04c6b750b0552089c87ae03de72289cfcpfmh,a7zfi,mobile,phone5,onepm,lk,22.53.4.153,vasstdc27m7nks3,0
856936,012441119bcf83b23d4768bb72cea6d6carua,i1aya,mobile,phone65,onepm,cz,230.205.7.164,vasstdc27m7nks3,0
858554,012441119bcf83b23d4768bb72cea6d6carua,i1aya,mobile,phone65,onepm,cz,230.205.7.164,vasstdc27m7nks3,0
859674,012441119bcf83b23d4768bb72cea6d6carua,i1aya,mobile,phone65,onepm,cz,230.205.7.164,zwyt7e5p6ulhj6n,0
868456,0141844fc725a85e38e12cc02fcdbbe8ofqxv,jefix,mobile,phone80,onepm,sd,228.248.147.152,22wyohk8b2rgdx0,0
877348,0141844fc725a85e38e12cc02fcdbbe8ofqxv,fwf88,mobile,phone33,onepm,eg,179.113.91.166,vasstdc27m7nks3,0
881332,04c6b750b0552089c87ae03de72289cfcpfmh,ks4oc,mobile,phone4,onepm,lk,123.232.186.169,vasstdc27m7nks3,0
888274,0141844fc725a85e38e12cc02fcdbbe8ofqxv,wfiyw,mobile,phone159,onepm,in,246.25.197.13,vasstdc27m7nks3,0
901206,0f3ee77a46dd5a09ad20b7c3e54ec614sbpvb,f6tcc,mobile,phone1043,onepm,th,155.214.149.52,vasstdc27m7nks3,1
985451,012441119bcf83b23d4768bb72cea6d6carua,i1aya,mobile,phone163,onepm,az,71.139.237.68,vasstdc27m7nks3,0
1008064,050a3b29ca1818e1f237df8132bc2013bcuxi,ko2gr,mobile,phone150,onepm,ae,214.226.136.163,6z7qtiq0pzdlvf8,0
1009411,012441119bcf83b23d4768bb72cea6d6carua,cy9ws,mobile,phone114,onepm,in,112.161.33.130,b6awg8438upbh6x,0
1016639,01eb9dcbd0b3e79d94020d13d83a993ec9d2a,jefix,mobile,phone1359,onepm,ma,97.43.89.86,l4t1gfcloh96oll,0
1035173,050a3b29ca1818e1f237df8132bc2013bcuxi,9366k,mobile,phone5,onepm,ng,243.168.223.194,6z7qtiq0pzdlvf8,0
1113441,0496c24a6a7f593f28bf7896350e946advl6i,1muxk,mobile,phone1012,ninepm,za,118.125.196.217,pwsg7ku7n7935nv,0
1140042,0f3ee77a46dd5a09ad20b7c3e54ec614sbpvb,v1s4p,mobile,phone431,ninepm,th,155.214.149.52,vasstdc27m7nks3,1
1141321,0f3ee77a46dd5a09ad20b7c3e54ec614sbpvb,sgzj8,mobile,phone728,ninepm,th,155.214.149.52,vasstdc27m7nks3,1
1156187,042780ee9a3730703e35340c575c3cbb7zjwk,yuokv,sporting goods,phone219,ninepm,th,248.121.26.197,vasstdc27m7nks3,0
1157089,053cefb7e952bd81d7a6db267a121747te7lo,ndb8t,mobile,phone364,ninepm,fr,221.187.195.207,vasstdc27m7nks3,0
1169810,04c6b750b0552089c87ae03de72289cfcpfmh,6enkh,mobile,phone26,ninepm,my,61.152.88.102,vasstdc27m7nks3,0
1184396,03e884d3e7e3356608187d2345e4693fyt29x,l61zc,home goods,phone236,ninepm,id,7.199.77.86,hofn9rh9xwi73fx,0
1189919,050a3b29ca1818e1f237df8132bc2013bcuxi,rwc0q,mobile,phone670,ninepm,az,147.200.143.96,254jlnaiqr7xit3,0
1197674,0141844fc725a85e38e12cc02fcdbbe8ofqxv,7etdx,mobile,phone76,ninepm,sd,251.178.10.82,vasstdc27m7nks3,0
