bid_id,bidder_id,auction,merchandise,device,time,country,ip,url
114,a1f098bf4b0591c08ee404ed930a50feqd28q,jefix,mobile,phone36,elevenpm,in,213.225.77.188,vasstdc27m7nks3
115,fd10a3b9be97f053f251665e122aa15c0onyu,lae7k,jewelry,phone4,elevenpm,in,78.241.31.236,vasstdc27m7nks3
116,3939ac3ef7d472a59a9c5f893dd3e39fh9ofi,jefix,jewelry,phone83,elevenpm,lk,123.202.98.149,cjauumna8yti8hy
117,8de1270cdae69fc973118c0211b14f59drhf5,qrfc2,jewelry,phone84,elevenpm,in,140.168.138.12,ysff3u6gh7x99kr
118,8393c48eaf4b8fa96886edc7cf27b372dsibi,jefix,jewelry,phone85,elevenpm,in,116.145.100.41,zlau2sdom5nr57t
119,8c2dc12395419cff62e7048703c0a82c8ntbi,698k5,jewelry,phone6,elevenpm,my,80.206.12.216,yi9cfv6lgwpox7v
120,383fb0bd288eee29232a63f3a7a94ba7l7473,jefix,jewelry,phone4,elevenpm,in,196.134.176.64,vasstdc27m7nks3
121,bbce265ccfc68a9be64338941055dfadv4huz,wxslb,jewelry,phone86,elevenpm,in,77.15.240.84,kew6jye8uhn03m9
122,953879d32e39e014cf8ce73daa2547cb2ke8t,a7821,mobile,phone58,elevenpm,ph,162.25.151.54,56qdubdqj92ani7
123,0dea01e325acccb9d2e7cdbf0150619c6aycy,0fxis,jewelry,phone87,elevenpm,my,63.156.116.211,vwv4jvg7khq15kc
124,203380705fa32adfd15435058c7372d5z7j6n,uuik1,mobile,phone33,elevenpm,br,210.159.251.193,vasstdc27m7nks3
125,22fb740f267ac617118261b2fd3365batisfg,9qusi,sporting goods,phone60,elevenpm,es,191.36.205.230,vasstdc27m7nks3
126,04bffaa5e353b8a37a66767e3d9b531din3rc,rxv1y,sporting goods,phone88,elevenpm,us,110.79.47.77,m872ofae79yd392
127,67fbdc4209a1566288acba904a2b5a7ee588g,yysd7,sporting goods,phone89,elevenpm,fr,212.51.246.208,vasstdc27m7nks3
128,1ecfb1f35ccf2f0c5490dab989e3bd6cx9ijm,b510f,jewelry,phone83,elevenpm,in,216.1.140.54,jwf8glau8koau8r
129,bbce265ccfc68a9be64338941055dfadv4huz,jefix,jewelry,phone33,elevenpm,id,202.43.221.67,kew6jye8uhn03m9
130,bbc20f1d1bfe8059bd64bbdac4d5f11e5c3fv,3boba,mobile,phone71,elevenpm,in,22.136.132.3,126vi7q87kwk92l
131,a2b9f789ab47d55d86e61fcab55a15d74vqi1,yiern,sporting goods,phone46,elevenpm,us,223.53.213.99,n3tw10i76zxmsa2
132,a58ace8b671a7531c88814bc86b2a34cf0crb,z0f8n,sporting goods,phone31,elevenpm,za,157.67.206.212,3qodefmyyy3rksx
133,0547dbd3ecb4a293913f138d60b586fdf4ane,9e6f5,sporting goods,phone90,elevenpm,mx,96.217.45.28,vasstdc27m7nks3
134,037d9f10da403d8d5f94b6e2957a3702f6x07,sc1cr,home goods,phone33,elevenpm,th,86.200.121.249,ztwq32qvmyby357
135,7d3c649e6dfcc7773703b5ce789c1202wehdy,tep1m,jewelry,phone17,elevenpm,in,212.23.52.180,astihdaa79kxt38
136,e3d0a636bf384a7ea8909f392891f37emm7zb,z6j8b,mobile,phone35,elevenpm,ng,198.243.204.92,q2urp0ujf6hd8j7
137,aa5f360084278b35d746fa6af3a7a1a5ra3xe,yhoht,home goods,phone91,elevenpm,ua,216.170.22.221,vasstdc27m7nks3
138,990db0dcdb665fb8fda5845b3e5d63082mbqq,jefix,home goods,phone92,elevenpm,in,196.140.186.134,vasstdc27m7nks3
139,8393c48eaf4b8fa96886edc7cf27b372dsibi,jefix,jewelry,phone93,elevenpm,in,113.143.164.187,cem3vcza1xa4oxp
140,668d393e858e8126275433046bbd35c6tywop,h2xrf,furniture,phone94,twelvepm,in,185.104.4.204,4nhf4369ida6ugl
141,67fbdc4209a1566288acba904a2b5a7ee588g,tep1m,sporting goods,phone95,twelvepm,in,29.97.211.193,vasstdc27m7nks3
142,d89c763e86253e52094e79eb72e40b70ftwb8,sjcg0,jewelry,phone49,twelvepm,id,34.248.38.243,i60gosxuxs1piai
143,1ecfb1f35ccf2f0c5490dab989e3bd6cx9ijm,3m3bf,jewelry,phone45,twelvepm,ru,40.64.55.21,vasstdc27m7nks3
144,dd055846eb553ab8e953b084f2048d53bdqec,1foz5,mobile,phone48,twelvepm,us,178.246.238.163,vasstdc27m7nks3
145,1ecfb1f35ccf2f0c5490dab989e3bd6cx9ijm,16g0z,jewelry,phone96,twelvepm,in,234.179.27.7,ueh56u0k519oepl
146,a58ace8b671a7531c88814bc86b2a34cf0crb,h10ni,sporting goods,phone35,twelvepm,za,4.255.7.81,y2ha8sgtc4wdp7o
147,a58ace8b671a7531c88814bc86b2a34cf0crb,h10ni,sporting goods,phone97,twelvepm,za,228.99.81.122,swjdtx1ir3cib92
148,dbd340def489066ae13ffa5cd68e6d2917li7,boegs,jewelry,phone22,twelvepm,tr,139.68.117.28,d40yshjus24k2cm
149,802a819acf0601b43fe5426cb48ac0bbqwfu8,ouwvc,jewelry,phone98,twelvepm,in,3.202.58.48,vasstdc27m7nks3
150,e8291466de91b0eb4e1515143c7f74dexy2yr,h1ko2,mobile,phone99,twelvepm,tr,19.208.216.51,vasstdc27m7nks3
151,71d8edafbd2f3a753c40a7bd12284b08s5noq,a1xum,mobile,phone34,twelvepm,il,82.193.120.181,vasstdc27m7nks3
152,8dac2b259fd1c6d1120e519fb1ac14fbqvax8,uw3sx,jewelry,phone41,twelvepm,iq,140.231.164.76,xdsfv4oevw5owkq
153,a1f098bf4b0591c08ee404ed930a50feqd28q,jefix,mobile,phone100,twelvepm,in,233.135.140.175,vasstdc27m7nks3
154,47af7d7f611b9e407fb013e884bfcafe4gvnx,jefix,jewelry,phone101,twelvepm,pk,124.159.43.9,vasstdc27m7nks3
155,8dac2b259fd1c6d1120e519fb1ac14fbqvax8,q79ya,jewelry,phone102,twelvepm,za,187.81.242.103,eex5it5avrad6s8
156,5324221d38a79636bc4560cbcf2d75c4gimrm,uj7b1,sporting goods,phone103,twelvepm,my,210.141.187.195,2qkfdczacrgvgfq
157,d2704c8bb6ebbf13e08f37131382b126wy4yc,qcppg,mobile,phone91,twelvepm,in,37.235.109.132,a9cftgqrt3utx0c
158,7e34a26c4c339e875997f4b9239d2b5fscng4,7n6dw,mobile,phone5,twelvepm,in,148.49.178.65,vasstdc27m7nks3
159,a58ace8b671a7531c88814bc86b2a34cf0crb,z6j8b,sporting goods,phone104,twelvepm,ng,202.115.203.241,vasstdc27m7nks3
160,ea0c4f1f221eccc1d9141f012b3c941799imw,p2fvk,jewelry,phone33,twelvepm,za,51.50.171.166,gn9lev4v5i9bg62
161,e708c84dc8017b37ecb19f4daf60d041fznqm,h2xrf,jewelry,phone105,twelvepm,in,50.201.125.84,2nev4zett2zyvca
162,e8291466de91b0eb4e1515143c7f74dexy2yr,ea3xj,mobile,phone106,twelvepm,qa,206.228.216.248,vasstdc27m7nks3
163,1cbd9081de4481ada66f1853737f7684ddjd1,8bm0x,computers,phone46,twelvepm,nl,192.22.83.50,vasstdc27m7nks3
164,7c18c97b0422d39ba261519111599615vudsk,f1wwm,jewelry,phone21,twelvepm,my,146.101.255.251,l1wwnub3wnp6tre
165,aa5f360084278b35d746fa6af3a7a1a5ra3xe,ne9lq,home goods,phone35,twelvepm,ve,73.40.152.17,vasstdc27m7nks3
166,223ba984ad966e74ca5aadb36ffff81f621q4,toaj7,mobile,phone107,twelvepm,in,180.152.188.248,tlw4gy8h0t306mm
167,ca8c4c51ccde4ef83a1141f01cfdc1b7abmle,w7htt,sporting goods,phone4,twelvepm,in,24.253.85.107,vasstdc27m7nks3
168,668d393e858e8126275433046bbd35c6tywop,19fz7,furniture,phone4,twelvepm,in,88.188.164.92,vasstdc27m7nks3
169,8dac2b259fd1c6d1120e519fb1ac14fbqvax8,qcppg,jewelry,phone5,twelvepm,in,13.136.161.106,vasstdc27m7nks3
170,a58ace8b671a7531c88814bc86b2a34cf0crb,z6j8b,sporting goods,phone108,twelvepm,ng,68.171.95.214,vasstdc27m7nks3
171,1096778aca48c41c8d0e288804d5e4e128pco,rbgux,jewelry,phone110,twelvepm,us,207.125.55.60,vasstdc27m7nks3
172,0d8f88a469b37c741cb4dc02c39f9cd6kegig,tryv1,office equipment,phone111,twelvepm,my,63.156.116.211,il7zc7bqnlkjzqk
173,2f13d3d968cc52de9f8d50903d415b81vyx9g,mt5kl,mobile,phone35,twelvepm,in,95.51.199.60,vasstdc27m7nks3
174,dd055846eb553ab8e953b084f2048d53bdqec,rsvsf,mobile,phone48,twelvepm,us,206.91.254.140,vasstdc27m7nks3
175,ffbc0fdfbf19a8a9116b68714138f2902cc13,i6t2q,mobile,phone107,twelvepm,in,13.85.88.131,dm956cebxf02khq
176,cffb5f3c1f4ca815d0f643fcb2f2f316beod4,3o5a9,jewelry,phone43,twelvepm,th,128.51.74.213,8sio4q1jeic3me2
177,cffb5f3c1f4ca815d0f643fcb2f2f316beod4,idfc3,jewelry,phone112,twelvepm,ke,18.154.8.167,7cfnwk62a3574r5
178,1e6fe926f053ef52dbcac176ff5c9061ldb32,do3nv,sporting goods,phone113,twelvepm,th,180.21.63.174,vasstdc27m7nks3
179,ffbc0fdfbf19a8a9116b68714138f2902cc13,toaj7,mobile,phone114,twelvepm,in,19.29.185.68,t8f0yvgl5jtc9gs
180,86e888c2dafacf13580a1211abf50961w6foa,2e9us,sporting goods,phone115,twelvepm,sg,129.223.147.141,bcdxex1pzcjieq6
181,9b7ff1238a5ca561ab22ca7b6d7a56e0bsxml,tbo6v,mobile,phone111,twelvepm,my,166.147.66.227,49vvkmd8quxewbv
182,86d8e1d1e76212d0b984180b3299b86867e7s,ws2id,sporting goods,phone2,twelvepm,in,159.170.26.190,vasstdc27m7nks3
183,64e802fa8e0c17ec2ba1b6425648b7cb7ndkn,uo3lj,home goods,phone45,twelvepm,in,246.198.237.188,vasstdc27m7nks3
184,a58ace8b671a7531c88814bc86b2a34cf0crb,0jp67,sporting goods,phone116,twelvepm,in,72.106.112.194,t5v4xxsxul01jt3
185,e8291466de91b0eb4e1515143c7f74dexy2yr,5omjo,mobile,phone2,twelvepm,za,112.5.23.18,vasstdc27m7nks3
186,75339aea3f29d7d9a8d67ed3fe1c89c3owsq5,gptxv,sporting goods,phone4,twelvepm,ke,97.142.148.39,vasstdc27m7nks3
187,d4471da1608ba495d6044d4206e38dbdcwmeg,38v0a,mobile,phone25,twelvepm,in,44.222.88.21,xlermv8ul3lg3t6
188,dd055846eb553ab8e953b084f2048d53bdqec,jhm20,mobile,phone117,twelvepm,ua,33.54.145.101,vasstdc27m7nks3
189,aa5f360084278b35d746fa6af3a7a1a5ra3xe,ht9lw,home goods,phone118,twelvepm,il,208.108.47.33,vasstdc27m7nks3
190,dbd340def489066ae13ffa5cd68e6d2917li7,boegs,jewelry,phone119,twelvepm,ru,199.146.226.69,qht07l4hbl2hp0q
191,dbd340def489066ae13ffa5cd68e6d2917li7,7mkw3,jewelry,phone119,twelvepm,ru,199.146.226.69,9xb5csmdcpf7xz2
192,67b022aa45aa24f305aa95b261512d9bw2orz,ve6a9,sporting goods,phone120,twelvepm,in,207.253.4.71,vasstdc27m7nks3
193,7c18c97b0422d39ba261519111599615vudsk,jefix,jewelry,phone57,twelvepm,id,255.149.113.196,7b9depz6kq3uwf7
194,6083368cafe58e854a60c832ad058214aio2u,jefix,mobile,phone121,twelvepm,in,219.61.202.5,kok43tlz1nthvco
195,2271fe5b01f9b8f9d8409014ae4511524grmq,5h9tv,mobile,phone122,twelvepm,in,43.191.44.175,x1i9sh7d34xj1j0
196,2271fe5b01f9b8f9d8409014ae4511524grmq,ufk7p,mobile,phone123,twelvepm,gt,56.234.244.109,fa2q1o71kyp3chs
197,aa5f360084278b35d746fa6af3a7a1a5ra3xe,x0bn4,home goods,phone101,twelvepm,ru,141.92.43.195,vasstdc27m7nks3
